"Incident ID",Year,Month,Day,"Country Code",Country,Region,District,City,UN,INGO,ICRC,"NRCS and IFRC",NNGO,Other,"Nationals killed","Nationals wounded","Nationals kidnapped","Total nationals","Internationals killed","Internationals wounded","Internationals kidnapped","Total internationals","Total killed","Total wounded","Total kidnapped","Total affected","Gender Male","Gender Female","Gender Unknown","Means of attack","Attack context",Location,Latitude,Longitude,Motive,"Actor type","Actor name",Details,Verified,Source
#event+id,#date+year,#date+month,#date+day,#country+code,#country+name+i_en,#adm1+name+i_en,#adm2+name+i_en,#adm3+name+i_en,#affected+UN,#affected+INGO,#affected+ICRC,#affected+IFRC,#affected+NGO,#affected+other,#affected+killed+national,#affected+injured+national,#affected+kidnapped+national,#affected+total+national,#affected+killed+international,#affected+injured+international,#affected+kidnapped+international,#affected+total+international,#affected+total+killed,#affected+total+injured,#affected+total+kidnapped,#affected+total,#affected+total+m,#affected+total+f,#affected+total+i,#event+means+i_en,#event+type+i_en,#loc+type+i_en,#geo+lat,#geo+lon,#x_event_motive,#group+type+i_en,#group+name+i_en,#description+i_en,,
2446,2015,,,SY,"Syrian Arab Republic",Aleppo,Aleppo,Aleppo,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,"Aerial bombardment",Combat/Crossfire,"Project site",36.202105,37.13426,Incidental,"Host State","Syrian Armed Forces","One male staff national staff member was killed during aerial bombing by the state while working at the project site.",Yes,"Focal Point"
3566,2015,,,IQ,Iraq,Erbil,Erbil,Erbil,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,"Rape/sexual assault ","Individual attack",Home,36.191188,44.009189,Unknown,"Staff member",,"One UN international female staff was repeatedly drugged and sexually assaulted by a fellow staff member over the course of the year.
",Yes,"Focal Point"
1892,2015,1,6,SS,"South Sudan",Warrap,Abyei,Dhalop,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,Kidnapping,Ambush,Road,9.788911,28.412623,Unknown,"Non-state armed group: Unknown","Not applicable","Five armed men attacked a team of 8 UN contractors that were working on a demining project and hijacked their vehicle. The driver was kidnapped and found unharmed on 8th January.",Yes,"Official Report"
2036,2015,1,6,SO,Somalia,Hiraan,Beledweyne,Bacda,0,0,0,0,3,0,1,2,0,3,0,0,0,0,1,2,0,3,0,0,3,Shooting,Ambush,Road,4.742941,45.200936,Unknown,"Non-state armed group: Unknown","Not applicable","One NGO staff worker was killed and two injured when their car was fired apon by armed militia at an illegal checkpoint in Bacda. The motive for the attack is unknown.",Yes,"Official Report"
1871,2015,1,7,SS,"South Sudan",Warrap,Abyei,Agok,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,"Bodily assault",Ambush,Road,9.357274,28.582716,Political,"Non-state armed group: National","Sudan People's Liberation Army (SPLA)","A local driver for an INGO was assaulted by two SPLA soldiers when stopped at a roundabout while driving in Agok. The soldiers, who had stopped behind him in their own vehicle, forced him out of his car. UNISFA soldiers intervened to stop the attack.",Pending,Archived
1869,2015,1,14,SD,Sudan,"South Darfur","Nyala Janoub",Nyala,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,Kidnapping,Ambush,Road,12.05,24.883333,Unknown,Unknown,Unknown,"While using his private vehicle, an INGO national staff member was abducted while dropping off a colleague at home. He was released on 5th February.",Yes,"Official Report"
1929,2015,1,15,ZM,Zambia,Western,Kaoma,Kaoma,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,"Rape/sexual assault ","Individual attack",Home,-14.81194,24.797398,Unknown,Unknown,Unknown,"One female international UN consultant was sexually assaulted at knifepoint at home while sleeping.",Yes,"Focal Point"
1874,2015,1,19,CF,"Central African Republic",Bangui,Bangui,Bangui,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,Kidnapping,Unknown,Unknown,4.366667,18.583333,Unknown,"Non-state armed group: Unknown","Not applicable","A French aid worker working for a charity organization was abducted at gunpoint in Bangui, Central African Republic and released unharmed on January 23, 2015.",Yes,Media
1870,2015,1,20,SD,Sudan,"South Kordofan",Talawdi,Farandalla,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,"Aerial bombardment",Combat/Crossfire,"Project site",11.199019,29.417932,Political,,"Sudanese Armed Forces","One staff person was injured when bombs dropped by the Sudanese Air Force landed on a hospital operated by an INGO. The hospital is located in the Nuba Mountains village of Frandala.",Yes,"Official Report"
1883,2015,1,26,SY,"Syrian Arab Republic",Damascus,Damascus,Damascus,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Shelling,Combat/Crossfire,"Public location",33.513,36.292,Incidental,Unknown,Unknown,"UN personnel was severely injured by a mortar shell when walking home from work.",Yes,"Official Report"
1897,2015,1,31,AF,Afghanistan,Faryab,Faryab,Maymana,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,Kidnapping,Raid,Office/compound,35.91784,64.775515,Political,"Non-state armed group: National",Taliban,"A female international aid worker was released after two weeks in captivity by the Taliban. She was kidnapped during a raid on the aid organization's compound.",Yes,Media
1985,2015,2,,SS,"South Sudan",Unity,Rubkona,Bentiu,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,"Rape/sexual assault ","Individual attack",Office/compound,9.26,29.8,Incidental,"Staff member",Contractor,"An INGO worker was reportedly raped by a UN contractor. The incident occurred in Bentiu, South Sudan on the UN compound.",Yes,Media
1886,2015,2,8,SD,Sudan,"Blue Nile","Al Kurmuk",Kurmuk,0,0,0,4,0,0,3,1,0,4,0,0,0,0,3,1,0,4,0,0,4,"Complex attack",Ambush,Road,10.55,34.283333,Unknown,"Non-state armed group: Unknown","Not applicable","Three volunteers from the Sudanese Red Crescent were killed and one seriously injured while returning from the town of Kurmuk after supporting a humanitarian relief mission in the field. The staff were hit by RPG and machine gun fire.
",Yes,Media
1891,2015,2,8,CD,"DR Congo","North Kivu",Goma,Goma,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,Shooting,Ambush,Road,-1.658501,29.220455,Unknown,Unknown,Unknown,"An INGO worker was driving in his private vehicle when armed individuals, who were attempting to stop the car, opened fire. The INGO worker was taken to hospital.",Yes,"Official Report"
1894,2015,2,8,GN,Guinea,Kindia,Forecariah,"Conakry, Forecariah",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,"Bodily assault","Mob violence","Project site",9.433333,-13.083333,Political,Unaffiliated,"Community members","An Guinea Red Cross volunteer was wounded in an attack by a mob in Forecariah when she tried to provide a burial for a woman suspected to have died from Ebola. Another volunteer was attacked during the incident as but sustained no serious injuries.
",Yes,"Official Report"
2037,2015,2,8,SO,Somalia,Sool,Taleex,Hodan,0,0,0,0,2,0,1,1,0,2,0,0,0,0,1,1,0,2,0,0,2,Shooting,Ambush,Road,9.149052,48.420033,Unknown,Unknown,Unknown,"Reportedly, one local NGO aid worker was killed and one injured when the vehicle that they were travelling in was fired upon by armed men driving in another car. The motive for the attack is unknown.",Yes,"Official Report"
1961,2015,2,9,TR,Turkey,Istanbul,Cekmekoy,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Shooting,Ambush,Road,41.104199,29.317835,Unknown,Unknown,Unknown,"Unidentified gunmen shot at a car in which the chief of the Turkish Red Crescent in Istanbul, was traveling. Although the chief was able to escape, his driver was shot in the stomach. The driver was treated at
",Yes,Media
2120,2015,2,10,CF,"Central African Republic",Haute-Kotto,Bria,Bria,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Shooting,Combat/Crossfire,Unknown,6.539036,21.991001,Incidental,"Non-state armed group: National",Ex-Seleka,"One INGO security guard was caught in the crossfire when French and ex-Seleka forces began heavy fighting. A stray bullet grazed his head and he received medical attention for his wound.",Yes,"Focal Point"
2143,2015,2,11,ET,Ethiopia,,,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,"Bodily assault",Unknown,Unknown,9.145,40.489673,Unknown,Unknown,Unknown,"One INGO male national staff member was assaulted. The circumstances around this incident are unknown. However, the man suffered a concussion and an injury to his ear.",Yes,"Focal Point"
2038,2015,2,14,SO,Somalia,Mudug,Gaalkacyo,"Gaalkacyo (south)",0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,"Bodily assault","Individual attack",Unknown,6.787273,47.439235,Incidental,Unaffiliated,"Not applicable","A local NGO worker stabbed a colleague during a personal dispute.",Yes,"Official Report"
1896,2015,2,17,SS,"South Sudan","Central Equatoria",Juba,"Juba, Bilpham",0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Shooting,Ambush,Road,4.869394,31.581437,Unknown,Unknown,Unknown,"A British aid worker was shot in his car by someone in a secondary vehicle that had pulled up behind him while he was returning to the organizational compound.",Pending,Media
1898,2015,2,17,MM,Myanmar,Shan,Laukkaing,Kokang,0,0,0,2,0,0,1,1,0,2,0,0,0,0,1,1,0,2,0,0,2,Shooting,Ambush,Road,21.156717,97.573478,Unknown,"Non-state armed group: Unknown","Not applicable","Two volunteers from the Myanmar Red Cross Society were injured when the convoy that they were traveling in was attacked. The volunteers were part of humanitarian Red Cross marked convoy that was evacuating civilians displaced by fighting in the northern Shan state. The volunteers were taken to hospital with head and abdominal wounds and one of them required surgery for their wounds. Update: Despite receiving medical attention, one of the volunteers passed away on 27 March, 2015, as a result of the gunshot wound sustained in the attack.",Yes,Media
2039,2015,2,20,SO,Somalia,Banadir,Banadir,"Mogadishu, Xamar Weyne",0,3,0,0,0,0,1,2,0,3,0,0,0,0,1,2,0,3,0,0,3,"Complex attack",Raid,"Public location",2.03153,45.337701,Political,"Non-state armed group: Regional","Al Shabaab","Two NGO staff members were injured and one killed in a complex attack in Mogadishu. Approximately 25 people were killed by al Shabaab at the Central Hotel and a local mosque close to the hotel as a result.",Yes,"Official Report"
1893,2015,2,21,MM,Myanmar,Shan,Laukkaing,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,Shooting,Ambush,Road,21.265956,97.67189,Unknown,"Non-state armed group: Subnational","Kokang rebels","A Myanmar Red Cross volunteer was injured in an attack on a Red Cross convoy traveling from Laukkai. Clashes between ethnic Kokang rebels and the Myanmar army have flared up in recent weeks, although the Myanmar Nationalities Democratic Alliance Army (the main Kokang rebel group) denied any part in the attack.",Yes,Media
1900,2015,2,24,YE,Yemen,Sana'a,Sana'a,Sana'a,0,0,0,0,0,2,0,0,1,1,0,0,1,1,0,0,2,2,0,2,0,Kidnapping,Ambush,Road,15.369445,44.191007,Unknown,"Non-state armed group: Unknown","Not applicable","One UN hired consultant and her translator were kidnapped from their car in Sana'a by armed men who were posing as police officers. After nearly six months in captivity, she was released in August 2015.",Pending,Media
2118,2015,3,2,CD,"DR Congo","North Kivu",,,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,3,Kidnapping,Unknown,Unknown,-0.791773,29.045993,Economic,Unknown,Unknown,"Three INGO staff members were kidnapped on March 2nd by unknown assailants in North Kivu province. They were allegedly released a few days later according to a UN official who made a comment about the release via the agency's social media account.",Yes,Media
1910,2015,3,3,AF,Afghanistan,Uruzgan,"Trinkot ",Trinkot,0,5,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,5,5,0,0,Kidnap-killing,Unknown,Unknown,32.927129,66.141526,Disputed,"Non-state armed group: National",Taliban,"Five aid workers were shot and killed, weeks after being abducted in Trinkot, Uruzgan province. The kidnapping occurred on March 3rd by armed gunmen allegedly belonging to the Taliban, even though no group has yet claimed the attack. The bodies of the five aid workers were discovered in Chanarto district on April 10th.",Yes,Media
2141,2015,3,9,CD,"DR Congo",,,,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,2,0,0,Kidnapping,Unknown,Unknown,-4.038333,21.758664,Unknown,Unknown,Unknown,"Two male INGO aid workers were kidnapped and held for over 24 hours.",Yes,"Focal Point"
1962,2015,3,9,ML,Mali,Bamako,Bamako,"Bamako, Capital District",2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,2,0,0,Shooting,Raid,"Public location",12.665771,-7.972909,Unknown,"Non-state armed group: Regional",Al-Murabitoun,"An attacker and his accomplice opened fire at La Terrasse restaurant in Bamako. Two UN munitions experts were critically injured in the attack and evacuated for medical treatment. They are in stable condition. Some reports suggest that Al-Murabitoun claimed responsibility for the attack.",Yes,"Official Report"
1902,2015,3,12,SS,"South Sudan","Central Equatoria",Juba,Tomping,0,2,0,0,0,0,0,1,0,1,0,1,0,1,0,2,0,2,2,0,0,Shooting,Ambush,"Project site",4.85,31.6,Economic,"Non-state armed group: Unknown","Not applicable","One INGO international aid worker and one national staff person were injured when their car was carjacked by a group of armed men. The aid worker was returning to his compound when the attack occurred at the gate of the compound. As the armed men were fleeing in the vehicle they stole, they indiscriminately shot rounds at the compound, hitting the INGO worker in the leg and the driver in the neck, both who have received medical attention for their wounds and will recover.",Yes,"Focal Point"
1963,2015,3,15,SS,"South Sudan",Unity,Pariang,"Near Maymom Junction on Pariang Road",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,Kidnapping,Ambush,Road,9.92,29.98,Unknown,Unknown,Unknown,"A UN contracted truck traveling as part of a convoy was ambushed on Pariang road. The driver was kidnapped and released 3 weeks later with non-life threatening wounds that were later treated.",Yes,"Official Report"
2130,2015,3,23,CF,"Central African Republic",Vakaga,Birao,Birao,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,2,0,0,"Bodily assault",Raid,Office/compound,10.293309,22.782249,Economic,Criminal,Unknown,"An armed gang entered an INGO compound and assaulted the a guard and a driver. Both required some medical attention.",Yes,"Focal Point"
2140,2015,3,24,AF,Afghanistan,Paktia,,,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,3,Kidnapping,Ambush,Road,33.706199,69.383108,Unknown,"Non-state armed group: Unknown","Not applicable","Three INGO staff members were abducted while driving to a project site. They were released one day later.",Yes,"Focal Point"
1903,2015,3,27,SY,"Syrian Arab Republic",,,,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,2,0,0,"Aerial bombardment",Combat/Crossfire,Road,34.802075,38.996815,Incidental,"Foreign or coalition forces","Russian Syrian Military Coalition","Two INGO national staff members were seriously injured during an air assault (an additional member suffered minor injuries).",Yes,Media
1905,2015,3,30,YE,Yemen,"Ad Dali'","Ad Dali'",,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Unknown,"Project site",13.7146398208014,44.7328210924994,Incidental,Unknown,Unknown,"A volunteer of the Yemen Red Crescent Society Al-Dhalea YRCS branch was critical injured on 30 March and later died of the injuries (31 March). He was shot in the abdomen while coming to the aid of people who had been wounded in fighting in the Al Sulaf area of Zubaid in southern Al-Dhalea Governorate. He was severely injured when someone started shooting randomly hitting one of the YRCS ambulances during armed confrontations. He was taken to the hospital where he died the following morning.",Yes,Media
1906,2015,3,30,ML,Mali,,,,0,0,0,2,0,0,1,1,0,2,0,0,0,0,1,1,0,2,1,0,1,Shooting,Ambush,Road,17.570692,-3.996166,Political,"Non-state armed group: Unknown","Not applicable","A Malian Red Cross volunteer was ambushed by MUJAO while driving an aid truck from Goa to Niamey. Armed militants opened fire on the vehicle and shot the volunteer, who died. Another volunteer--the passenger--was wounded in the attack. The extent of the passenger's injuries is currently unknown. MUJAO allegedly stated that the INGO was attacked because it is ""working for the enemy""",Yes,"Official Report"
1904,2015,3,31,SY,"Syrian Arab Republic",Damascus,Damascus,Damascus,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Shooting,Unknown,"Project site",33.513,36.292,Unknown,Unknown,Unknown,"A volunteer for the Syrian branch of the Palestine Red Crescent Society was shot and killed in a refugee camp near Damascus.",Yes,Media
2116,2015,4,,YE,Yemen,Aden,Aden,Aden,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Unknown,Unknown,12.785497,45.018655,Unknown,Unknown,Unknown,"An INGO driver was killed by a sniper in Aden.",Yes,"Focal Point"
1964,2015,4,1,SS,"South Sudan","Upper Nile",Manyo,"Khor Adar",3,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,3,0,0,Kidnap-killing,Ambush,Road,10.38248,32.2563,Political,"Non-state armed group: National","Sudan People's Liberation Army (SPLA)","A UN contracted truck was commandeered by the SPLA in Khor Adar with demands to transport troops to Akoka. The location of the truck, two staff members and a contracted driver is unknown, but they were on-route to a relief distribution site in Melut with supplies when intercommunal fighting occurred along the road. Update (August 24, 2015): The organization made a statement confirming that the staff members have been presumed dead.",Yes,"Official Report"
2040,2015,4,2,SO,Somalia,Hiraan,Beledweyne,"Beledweyne, Hawl-Wadaag",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Shooting,Ambush,Road,4.726904,45.191571,Incidental,Unknown,Unknown,"A driver for an INGO was shot and injured in Hawl-Wadaag. He was taken to the hospital because his wounds required surgical intervention. The attack was reportedly a result of tension between clans.",Yes,"Official Report"
1907,2015,4,3,SY,"Syrian Arab Republic",Idlib,Idlib,Idlib,0,0,0,2,0,0,2,0,0,2,0,0,0,0,2,0,0,2,2,0,0,"Landmine ",Unknown,"Project site",35.933333,36.633333,Unknown,Unknown,Unknown,"Two Syrian Arab Red Crescent (SARC) volunteers, one from the Idlib branch and one from the Market al-Nouman sub-branch, were killed by a UXO while retrieving bodies of the deceased from near the SARC Idlib branch and preparing shelters for people fleeing from the fighting in the city.
",Yes,Media
1908,2015,4,3,YE,Yemen,Aden,Aden,Aden,0,0,0,2,0,0,2,0,0,2,0,0,0,0,2,0,0,2,2,0,0,Shooting,Unknown,"Project site",12.8,45.033333,Political,Unknown,Unknown,"Two brothers volunteering for a local branch of the Yemen Red Crescent Society were shot dead in the southern port city of Aden while evacuating wounded people to an ambulance.",Yes,Media
1965,2015,4,5,SS,"South Sudan",Jonglei,Pibor,Kassengor,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Shooting,Unknown,Unknown,6.4186699,32.8450649,Unknown,Unknown,Unknown,"One INGO national staff member was shot in the Kassengor area along the border of Eastern Equatorial and Jonglei.",Yes,"Official Report"
1909,2015,4,7,SY,"Syrian Arab Republic",Aleppo,Aleppo,Aleppo,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shelling,Combat/Crossfire,Home,36.211683,37.1473,Incidental,Unknown,Unknown,"An INGO aid worker was killed when a shell fell on his home in Aleppo, Syria.",Yes,"Official Report"
1966,2015,4,12,SO,Somalia,Gedo,Baardheere,"Between Garilley and Fafahdhun (Faafaz dhunn)",2,3,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,5,5,0,0,Kidnapping,Ambush,Road,3.062778,41.648056,Political,"Non-state armed group: Regional","Al Shabaab","According to a local media report, 3 aid workers for an INGO, 2 UN contracted staff from a private company, and 2 private company staff members (not counted here), were kidnapped in Gedo by armed gunmen thought to be part of Al Shabaab. The aid workers were allegedly abducted between Garilley and Fafahdun towns and taken to Bardere. They were all released on different dates with the help of local elders and the last release of the INGO staff members took place on June 14th.",Yes,Media
2134,2015,4,15,CM,Cameroon,Centre,Mfoundi,Yaounde,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,"Bodily assault",Raid,Home,3.848032,11.502075,Economic,Unknown,Unknown,"An international staff member was driving home and stopped in front of it when 5 armed men with knives attacked the staff member and wounded his hand. They broke the windows of the car to get to him. They robbed the staff member of his money, valuables, documents and forced him to drive away with them. Later he managed to escape. He was hospitalized due to the wounds sustained during the attack.",Yes,"Focal Point"
2015,2015,4,16,SS,"South Sudan",Jonglei,"Twic East","Mabior-Poktap Road",0,2,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,2,2,0,0,Shooting,Ambush,Road,7.407577,31.420469,Unknown,"Non-state armed group: Unknown","Not applicable","A truck driver and his assistant, contracted by an INGO, were attacked on the road between Mabior and Poktap by armed assailants, who shot them. The driver's assistant was killed and the driver, who was shot multiple times, had to be airlifted to a medical facility for treatment.",Yes,"Focal Point"
1912,2015,4,18,AF,Afghanistan,Kundoz,Aliabad,"Aliabad main road",0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,Kidnapping,Ambush,Road,36.728591,68.868066,Political,"Non-state armed group: National",Taliban,"One international INGO worker was kidnapped when stopped at an illegal checkpoint manned by anti-government forces that were posing as Afghan Notional Police officers. Update: the German aid worker, who was abducted by the Taliban, fled from the perpetrators on May 29th.",Yes,"Official Report"
2110,2015,4,20,GT,Guatemala,Camotan,Chiquimula,"Terracera highway",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Shooting,Ambush,Road,14.818215,-89.533333,Unknown,Unknown,Unknown,"While driving his motorcycle along the Terraceria Highway in the Camotan Municipality, one national male staff member of an INGO was ambushed by two people in ski masks. They were armed and they shot at him, injuring him in the chest. He was able to escape and was taken to hospital for medical treatment.
",Yes,"Focal Point"
1911,2015,4,20,SO,Somalia,Nugal,Garoowe,Garoowe,4,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,4,2,2,0,"Roadside IED","Individual attack",Road,8.4,48.483333,Political,"Non-state armed group: Regional","Al Shabaab","Four international UN staff members were killed when a roadside bomb exploded next to their minibus. They were traveling from their guesthouse to their office in Garowe. Al Shabab, a extremist group with links to Al-Qaeda, claimed responsibility for the attack, according to The Associated Press.",Yes,Media
1980,2015,4,23,CD,"DR Congo","North Kivu",Rutshuru,"Goma-Rutshuru Road",3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,3,0,0,Kidnapping,Ambush,Road,-1.305887,29.380188,Unknown,"Non-state armed group: Unknown","Not applicable","Three UN contracted demining personnel were abducted on Goma-Rutshuru road in North Kivu province by armed gunmen.",Yes,"Official Report"
1979,2015,4,29,AF,Afghanistan,Faryab,"Pashtun Kot","Khist Pul, Maimana-Bilichiragh Highway",0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,2,0,0,Kidnapping,Ambush,Road,35.953692,64.911089,Political,"Non-state armed group: National",Unknown,"Two INGO staff members and their driver were abducted by gunmen in Pashtun Kot district along the Maimana-Bilichiragh highway.",Yes,"Official Report"
1942,2015,5,3,AF,Afghanistan,Uruzgan,Dihrawud,"Kakrak (near)",0,3,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,3,Unknown,Ambush,"Project site",32.623739,65.456432,Political,"Non-state armed group: National",Unknown,"Three INGO staff members were killed when ambushed by AGE while inspecting a project site.",Yes,"Official Report"
1941,2015,5,4,AF,Afghanistan,Balkh,"Mazar-e Sharif","Mazar-e Sharif",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,Kidnapping,Ambush,Road,36.7,67.116667,Unknown,"Non-state armed group: Unknown","Not applicable","A driver for a de-mining NGO was abducted while driving in Mazar-e Sharif, Balkh province. He was released on the 7th of May 2015.",Yes,"Official Report"
2129,2015,5,6,SY,"Syrian Arab Republic","Rural Damascus",Douma,Douma,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,Shelling,Combat/Crossfire,"Project site",33.572772,36.409376,Unknown,Unknown,Unknown,"On May 6, during a distribution mission in Douma Branch near Damascus, a couple of mortar shells hit close to a SARC convoy and killed female sub-branch volunteer.",Yes,"Focal Point"
1978,2015,5,10,AF,Afghanistan,Faryab,"Pashtun Kot",,0,0,0,0,2,0,1,0,1,2,0,0,0,0,1,0,1,2,2,0,0,Kidnapping,Ambush,Road,35.598206,64.763659,Political,"Non-state armed group: National",Unknown,"An NGO vehicle was stopped at an illegal checkpoint in the Ibrahim Abad area of Pashtun Kot district. One NGO staff member was abducted, one security escort was killed.",Yes,"Official Report"
2004,2015,5,14,SS,"South Sudan",Unity,Rubkona,"Torabeith (near), Mayom Road",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,"Landmine ",Ambush,Road,9.234861,29.212306,Incidental,Unknown,Unknown,"An UN contracted truck hit a landmine north of Bentiu, near Torabeith. The driver sustained injuries to the leg as a result of the blast.",Yes,"Official Report"
2119,2015,5,21,CM,Cameroon,Adamawa,Mbere,Meiganga,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,2,0,Shooting,Ambush,Road,6.516397,14.291927,Economic,Unknown,Unknown,"Two INGO national staff members were shot after being ambushed by armed assailants while travelling from the project site back to their base of operations.",Yes,"Focal Point"
1977,2015,5,21,ML,Mali,Gao,Gao,Gao,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Combat/Crossfire,Unknown,16.247142,-0.005494,Incidental,"Non-state armed group: National",Unknown,"Clashes between anti-government armed groups resulted in the death of one INGO staff member and a number of civilians (not counted).
",Yes,"Official Report"
1981,2015,5,22,SS,"South Sudan","Central Equatoria",Juba,Juba,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,"Bodily assault","Individual attack","Public location",4.853917,31.584234,Political,"Host State",Unknown,"A UN staff member was assaulted by soldiers while walking to work along Airport Road in Juba. They accused him of spying. The staff member suffered injuries to his face and bruised ribs.",Yes,"Official Report"
2011,2015,5,29,YE,Yemen,Hajjah,Hajjah,Hajjah,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,"Other Explosives",Combat/Crossfire,"Project site",15.70304,43.60393,Unknown,Unknown,Unknown,"One Yemen Red Crescent volunteer was killed in an explosion while helping wounded civilians during an attack on the area.",Yes,"Official Report"
1940,2015,6,2,AF,Afghanistan,Balkh,,Zare,0,9,0,0,0,0,9,0,0,9,0,0,0,0,9,0,0,9,8,1,0,Shooting,Raid,Office/compound,32.150833,69.722222,Political,"Non-state armed group: National",Unknown,"Nine national staff members of an INGO were shot and killed in the early hours of June 2 by unknown assailants who stormed their housing complex in Zare (Balkh province). According to early news reports, two of the fatalities were guards protecting the housing complex, two were drivers for the organization and five were aid workers. The INGO has suspended activities in the country as a result of the attack.",Yes,Media
1975,2015,6,3,SS,"South Sudan","Western Equatoria","Mundri East",Lui,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,2,0,0,"Bodily assault",Ambush,Road,5.382234,30.426636,Economic,Unknown,Unknown,"A UN contracted truck was ambushed in Lui area. The armed assailants robbed provisions off the truck and took the drivers' personal belongings. The driver and his assistant were seriously injured in the attack.",Yes,"Official Report"
1974,2015,6,4,SS,"South Sudan",Warrap,"Tonj South","Manyang Ngok",1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,2,0,0,Shooting,Ambush,Road,7.27393,28.688049,Political,"Non-state armed group: Unknown","Not applicable","A health mission was ambushed on-route to Manyang Ngok Primary Health Care Unit. The armed men shot and killed the driver. One INGO and one UN team member were severely injured and had to be hospitalized.",Yes,"Official Report"
2026,2015,6,5,LY,"Libyan Arab Jamahiriya",West,Aljfara,Al-Shwayrif,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,2,2,2,0,0,Kidnapping,"Individual attack","Project site",32.593308,13.055329,Political,"Non-state armed group: Unknown","Not applicable","Two aid workers working for a UN implementing partner were kidnapped in the al-Shwayrif area, while delivering humanitarian assistance. They were released on  November 12th, 2015 after 5 months of captivity.",Yes,"Official Report"
